iter	RMSE
0	70.71254976
1	68.91685964
2	67.27836548
3	65.76538799
4	64.29075666
5	62.97315045
6	61.80366464
7	60.60816783
8	59.60448244
9	58.62662888
10	57.76189117
11	56.77592035
12	55.96431186
13	55.20853854
14	54.53042103
15	53.81080676
16	53.10742891
17	52.44200188
18	51.90232208
19	51.30803243
20	50.76559214
21	50.22620714
22	49.77732789
23	49.23092573
24	48.7688721
25	48.34755028
26	47.92506407
27	47.54144034
28	47.11267006
29	46.65957457
30	46.32893693
31	45.91610293
32	45.5142353
33	45.23409921
34	44.93323624
35	44.64918665
36	44.41038411
37	44.07841931
38	43.82064701
39	43.56063859
40	43.31730622
41	43.08462952
42	42.90221038
43	42.72602941
44	42.44850508
45	42.27418113
46	42.11984303
47	41.89228309
48	41.66363351
49	41.4657272
50	41.28812502
51	41.0931731
52	40.885988
53	40.74237492
54	40.50173143
55	40.36599864
56	40.16461851
57	40.02683298
58	39.83386402
59	39.64125077
60	39.50019583
61	39.36064634
62	39.22813543
63	39.08404543
64	38.98309526
65	38.87663044
66	38.75914974
67	38.65823572
68	38.54594016
69	38.46064259
70	38.35472277
71	38.29483804
72	38.17428767
73	38.08802833
74	38.0201584
75	37.94130432
76	37.80914474
77	37.72939001
78	37.64886459
79	37.57368973
80	37.44042961
81	37.36815337
82	37.29510647
83	37.16869943
84	37.10043417
85	37.02266455
86	36.92450609
87	36.83517533
88	36.76887788
89	36.71907695
90	36.65206513
91	36.5752235
92	36.50424864
93	36.4307668
94	36.28777474
95	36.26270756
96	36.19789738
97	36.13458297
98	36.02126087
99	35.96202336
100	35.92612244
101	35.86535584
102	35.80017216
103	35.75037246
104	35.67089486
105	35.62434224
106	35.53335777
107	35.41646625
108	35.24777736
109	35.20015926
110	35.14012896
111	35.09624351
112	35.06576847
113	35.02505124
114	34.90983428
115	34.84211558
116	34.82155845
117	34.73995315
118	34.67359617
119	34.62320645
120	34.56623103
121	34.47523852
122	34.42864952
123	34.36234468
124	34.31768748
125	34.27136094
126	34.22072036
127	34.20452016
128	34.16473225
129	34.13309825
130	34.08462658
131	34.00508675
132	33.9257077
133	33.84935047
134	33.82306558
135	33.77622779
136	33.72669362
137	33.70376696
138	33.68835271
139	33.63907465
140	33.59710352
141	33.56335347
142	33.52147213
143	33.44670454
144	33.40928024
145	33.37765984
146	33.34802677
147	33.32352322
148	33.28476589
149	33.22853254
150	33.19501246
151	33.13347559
152	33.11342472
153	33.02901352
154	33.00595861
155	32.96494107
156	32.93144696
157	32.88056509
158	32.86040934
159	32.84044248
160	32.76338523
161	32.6661341
162	32.63944593
163	32.61162613
164	32.59107857
165	32.56392261
166	32.50239126
167	32.39450892
168	32.36516212
169	32.32840168
170	32.25800563
171	32.2357874
172	32.15633862
173	32.13094426
174	32.04887692
175	32.031124
176	32.00068694
177	31.92433316
178	31.88441518
179	31.85667072
180	31.77302453
181	31.75030765
182	31.74177696
183	31.69552159
184	31.65613778
185	31.63254637
186	31.60209012
187	31.58264552
188	31.55438124
189	31.48889904
190	31.42978693
191	31.41458596
192	31.36331368
193	31.33894676
194	31.32437625
195	31.26433223
196	31.24697827
197	31.22358202
198	31.20090279
199	31.10145139
200	31.08374099
201	31.05937076
202	31.0376618
203	31.01651611
204	30.93224631
205	30.91663278
206	30.83593674
207	30.81476952
208	30.78918371
209	30.74890509
210	30.72860249
211	30.61484343
212	30.56269868
213	30.49073764
214	30.47469744
215	30.45874131
216	30.43712003
217	30.4144748
218	30.34956752
219	30.31201745
220	30.29921834
221	30.23201092
222	30.21039658
223	30.15691009
224	30.12446627
225	30.09815504
226	30.07831591
227	30.05668314
228	30.02421645
229	29.93723478
230	29.87530557
231	29.84997912
232	29.79250953
233	29.77379354
234	29.74513347
235	29.68830657
236	29.68198256
237	29.66538274
238	29.63007473
239	29.60626682
240	29.59626941
241	29.58820263
242	29.57397852
243	29.56513035
244	29.55158625
245	29.54326666
246	29.50319496
247	29.46961761
248	29.39063129
249	29.34471429
250	29.32740998
251	29.2872687
252	29.23798876
253	29.21850789
254	29.20309549
255	29.14215344
256	29.12682348
257	29.11419397
258	29.07807087
259	29.06368773
260	29.05168387
261	29.01808527
262	29.00659627
263	28.99561657
264	28.95413952
265	28.87401012
266	28.85320366
267	28.83975
268	28.82925732
269	28.77276752
270	28.7625705
271	28.74980274
272	28.73090044
273	28.6904161
274	28.68147222
275	28.61238138
276	28.60379402
277	28.59095836
278	28.58199548
279	28.55880612
280	28.54443886
281	28.53576801
282	28.49120366
283	28.44646623
284	28.4157137
285	28.39427414
286	28.37390046
287	28.36387729
288	28.30686054
289	28.23047594
290	28.18700462
291	28.17739755
292	28.15795796
293	28.14896874
294	28.13418098
295	28.11730531
296	28.10876967
297	28.07898776
298	28.0641223
299	28.04977338
300	28.00679812
301	27.99288488
302	27.94107258
303	27.92761068
304	27.9197442
305	27.90673212
306	27.89415821
307	27.87854779
308	27.86291657
309	27.81739098
310	27.77220706
311	27.75906745
312	27.73282505
313	27.72383136
314	27.67503802
315	27.65846935
316	27.62699529
317	27.61517454
318	27.55703954
319	27.54522038
320	27.53137423
321	27.51853005
322	27.49590237
323	27.48245475
324	27.46558137
325	27.45355569
326	27.41408381
327	27.40246487
328	27.34178811
329	27.30617034
330	27.26493744
331	27.25467534
332	27.19018505
333	27.1825886
334	27.17591619
335	27.1659537
336	27.1488454
337	27.12618019
338	27.11654518
339	27.09576468
340	27.04592434
341	27.02280327
342	26.98707707
343	26.94905056
344	26.93270022
345	26.91161606
346	26.9078876
347	26.8831491
348	26.86208539
349	26.83008641
350	26.80140982
351	26.78618516
352	26.71837118
353	26.69223903
354	26.68110728
355	26.63099846
356	26.62845519
357	26.59690541
358	26.57807067
359	26.56066149
360	26.55817228
361	26.55575992
362	26.54277178
363	26.53895481
364	26.53661429
365	26.51718145
366	26.4814947
367	26.41509107
368	26.39748226
369	26.37809201
370	26.35523247
371	26.35310764
372	26.32243212
373	26.30142853
374	26.29079727
375	26.28867029
376	26.26726371
377	26.25501224
378	26.24593212
379	26.23352338
380	26.2160887
381	26.18990358
382	26.16568231
383	26.16198421
384	26.13966632
385	26.07129687
386	26.05155689
387	26.04985428
388	26.02145884
389	26.00155734
390	25.96754055
391	25.96171957
392	25.95076314
393	25.93860357
394	25.92969166
395	25.91405739
396	25.86755024
397	25.8589088
398	25.83347297
399	25.82381559
400	25.82203888
401	25.80383891
402	25.75215636
403	25.71526549
404	25.70689414
405	25.69880261
406	25.69058448
407	25.68296266
408	25.64189007
409	25.61345501
410	25.58188582
411	25.56373099
412	25.50517492
413	25.48161243
414	25.46733835
415	25.453181
416	25.44586208
417	25.40706387
418	25.39072482
419	25.37714313
420	25.36723108
421	25.34589438
422	25.31495252
423	25.29859841
424	25.28103939
425	25.26421396
426	25.22867066
427	25.20463544
428	25.15951706
429	25.14974629
430	25.12922099
431	25.11467527
432	25.09611624
433	25.07026276
434	25.04114458
435	25.02853725
436	25.01316414
437	25.00119372
438	24.99034284
439	24.98286647
440	24.97167234
441	24.95593937
442	24.93415271
443	24.91996868
444	24.87862465
445	24.85011886
446	24.82361575
447	24.81327756
448	24.8052192
449	24.77805256
450	24.76391254
451	24.75307802
452	24.73692421
453	24.7208185
454	24.70063328
455	24.65096992
456	24.60657589
457	24.59633279
458	24.57081163
459	24.56608368
460	24.55918558
461	24.54042463
462	24.52040338
463	24.50469812
464	24.48618578
465	24.47138571
466	24.45872661
467	24.45424631
468	24.42314084
469	24.41279899
470	24.37255256
471	24.3557582
472	24.34089185
473	24.28729156
474	24.28448938
475	24.27938748
476	24.249384
477	24.23141822
478	24.20580357
479	24.20474088
480	24.17255652
481	24.15963326
482	24.14989654
483	24.13415941
484	24.11743908
485	24.11640077
486	24.08987518
487	24.08312857
488	24.06981496
489	24.06760764
490	24.06295566
491	24.05309064
492	24.02570702
493	24.00486515
494	23.99287823
495	23.97398716
496	23.97066841
497	23.96920219
498	23.95720941
499	23.95589394
500	23.9448296
501	23.94345534
502	23.93328298
503	23.93130741
504	23.93004081
505	23.90942757
506	23.9009022
507	23.86535335
508	23.83990227
509	23.83029673
510	23.82225363
511	23.80592453
512	23.79886249
513	23.78357576
514	23.76941538
515	23.74674246
516	23.74595777
517	23.73307249
518	23.72494086
519	23.70801166
520	23.69306746
521	23.66426588
522	23.6634863
523	23.65339754
524	23.64699371
525	23.6409745
526	23.61280877
527	23.59543933
528	23.58483115
529	23.56348948
530	23.55385082
531	23.53852597
532	23.53163705
533	23.51855729
534	23.51692309
535	23.49544482
536	23.46854331
537	23.4427606
538	23.43858293
539	23.43243417
540	23.41606498
541	23.41141888
542	23.40769392
543	23.39510194
544	23.37045687
545	23.35646205
546	23.35001248
547	23.33549879
548	23.32749389
549	23.30954798
550	23.30594804
551	23.29305325
552	23.27805387
553	23.26056937
554	23.24377242
555	23.24024768
556	23.23557299
557	23.21669335
558	23.20043038
559	23.17686384
560	23.16661281
561	23.15499405
562	23.14443054
563	23.12390413
564	23.10991628
565	23.04394008
566	23.03257178
567	23.00867317
568	22.99533475
569	22.97812746
570	22.97059815
571	22.96730922
572	22.95305058
573	22.94079087
574	22.92833788
575	22.91390042
576	22.90169564
577	22.88015339
578	22.87245471
579	22.86545446
580	22.850739
581	22.83860849
582	22.80607892
583	22.80412481
584	22.79594377
585	22.78917836
586	22.78162555
587	22.7749751
588	22.76961643
589	22.75915408
590	22.74026984
591	22.73256277
592	22.71557323
593	22.69209771
594	22.68296482
595	22.67726132
596	22.67286176
597	22.65564131
598	22.63571658
599	22.62553087
600	22.61427171
601	22.59884731
602	22.58657658
603	22.57521716
604	22.54996652
605	22.50363347
606	22.49238496
607	22.47926297
608	22.47539968
609	22.46675964
610	22.46463485
611	22.4441749
612	22.43939907
613	22.43382825
614	22.4238089
615	22.4124543
616	22.40022534
617	22.39265551
618	22.38336435
619	22.37348002
620	22.36141786
621	22.33605305
622	22.33181126
623	22.32764012
624	22.32619755
625	22.30932942
626	22.29572241
627	22.28770932
628	22.22935117
629	22.21949541
630	22.21176883
631	22.18542757
632	22.16748835
633	22.15949716
634	22.14654216
635	22.13596052
636	22.12369947
637	22.1106761
638	22.0950393
639	22.08775922
640	22.06566977
641	22.04540494
642	22.03956778
643	22.03204695
644	22.0287864
645	22.01768505
646	22.01046687
647	21.99750324
648	21.93796263
649	21.91779042
650	21.91475637
651	21.8970104
652	21.88863643
653	21.87951933
654	21.87334935
655	21.86211552
656	21.85862842
657	21.84285133
658	21.82255936
659	21.80998117
660	21.79757291
661	21.79388943
662	21.79006396
663	21.78243724
664	21.78082021
665	21.76399611
666	21.76229317
667	21.7578643
668	21.73460976
669	21.71910458
670	21.69274019
671	21.66124704
672	21.65790973
673	21.65251687
674	21.64264891
675	21.60432967
676	21.59497939
677	21.59176218
678	21.57482649
679	21.56266769
680	21.55689972
681	21.54650416
682	21.5339794
683	21.52001104
684	21.50866422
685	21.49448854
686	21.49403851
687	21.48413735
688	21.45332433
689	21.45063926
690	21.4368974
691	21.41572899
692	21.39845166
693	21.3485963
694	21.3438664
695	21.33297651
696	21.30529609
697	21.30228409
698	21.29346691
699	21.28073427
700	21.27784195
701	21.26293974
702	21.2302105
703	21.22455668
704	21.21882502
705	21.20663977
706	21.20211251
707	21.19953289
708	21.1894876
709	21.17899781
710	21.16446494
711	21.14100315
712	21.13722661
713	21.1198879
714	21.1110895
715	21.10298413
716	21.1000588
717	21.09063784
718	21.08274681
719	21.0734155
720	21.05647107
721	21.05205283
722	21.01826557
723	21.01318673
724	21.00480221
725	21.00440765
726	20.99418573
727	20.99007659
728	20.96900927
729	20.95777407
730	20.95367314
731	20.95029488
732	20.94704339
733	20.92082577
734	20.90778182
735	20.8948695
736	20.89063389
737	20.88503148
738	20.88081862
739	20.87074014
740	20.86762856
741	20.85907047
